group,id,item,language,misc,f1_start,f2_start,f1_cent,f2_cent,vot,ri,cog,sd,sk,kt,label,rep_n,phon,voicing,stress
bi_aldrich,P09,campaign,english,5,377.83,968.42,293.76,844.37,94.56,17.34,2069.82,2535.36,1.65,1.74,NA,1,k,voiceless,unstressed
bi_aldrich,P09,pandora,english,5,264.93,937.5,293.71,844.27,52.56,3.18,112.06,308.61,17.2,415.1,NA,1,p,voiceless,unstressed
bi_aldrich,P09,cosmetic,english,5,319.34,647.73,425.57,701,80.24,21.8,1932.87,2747.42,2.35,4.24,NA,1,k,voiceless,unstressed
bi_aldrich,P09,passion,english,5,622.88,803.66,558.44,776.85,143.09,14.43,61.36,111.87,45.95,3542.11,NA,1,p,voiceless,stressed
bi_aldrich,P09,pacify,english,5,670.76,890.49,547.01,770.02,115.41,1.53,321,865.16,6.38,50.19,NA,1,p,voiceless,stressed
bi_aldrich,P09,tantrum,english,5,288.49,965.06,390.92,876.08,108.96,3.72,596.74,1596.88,3.93,15.47,NA,1,t,voiceless,stressed
bi_aldrich,P09,passivity,english,5,575.28,846.08,494.9,796.04,73.96,1.83,240.88,419.26,12.64,226.99,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pontoon,english,5,248,629.77,265.42,653.81,95.78,8.23,213.36,434.53,14.46,275.31,NA,1,p,voiceless,unstressed
bi_aldrich,P09,package,english,5,595.26,811.84,583.68,800.59,101.88,-0.27,236.48,296.75,15.21,356.09,NA,1,p,voiceless,stressed
bi_aldrich,P09,pandilla,spanish,5,438.02,785.98,498.65,699.63,9.58,2.4,278.33,319.82,11.34,229.89,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pantera,spanish,5,465.43,703.3,503.69,732.6,8.99,1.34,349.61,462.09,9.31,136.88,NA,1,p,voiceless,unstressed
bi_aldrich,P09,tacaño,spanish,5,454.4,796.35,520.7,791.11,8.89,-0.01,290.94,607.91,8.97,103.11,NA,1,t,voiceless,unstressed
bi_aldrich,P09,panza,spanish,5,453.43,553.16,521.79,698.64,8.34,2.07,220.16,347.74,21.12,525.63,NA,1,p,voiceless,stressed
bi_aldrich,P09,paja,spanish,5,310.69,535.2,522.57,661.31,9.46,3.21,139.85,321.93,15.84,371.9,NA,1,p,voiceless,stressed
bi_aldrich,P09,pasillo,spanish,5,409.93,718.22,479.83,746.66,9.05,-0.08,268.37,485.79,11.33,186.45,NA,1,p,voiceless,unstressed
bi_aldrich,P09,cambio,spanish,5,348.03,707.3,470.15,666.99,26.44,18.44,1515.34,1170.18,3.58,15.56,NA,1,k,voiceless,stressed
bi_aldrich,P09,castaño,spanish,5,380.07,772.08,464.07,775.93,23.58,10.97,1459.24,807.85,4.8,37.1,NA,1,k,voiceless,unstressed
bi_aldrich,P09,tanto,spanish,5,416.99,706.92,518.53,738.93,10.81,6.36,540.35,1110.02,4.75,28.2,NA,1,t,voiceless,stressed
bi_aldrich,P09,caso,spanish,5,352.27,748.91,511.17,734.76,37.29,13.85,1521.78,1078.58,3.28,20.23,NA,1,k,voiceless,stressed
bi_aldrich,P09,tambo,spanish,5,384.86,740.59,530.05,706.71,8.93,2.57,392.77,831.2,6.07,43.55,NA,1,t,voiceless,stressed
bi_aldrich,P09,tajo,spanish,5,382.93,801.83,566.07,747.68,6.22,3,321.01,725.97,8,73.52,NA,1,t,voiceless,stressed
bi_aldrich,P09,pasado,spanish,5,271.45,607.59,509.7,703.79,10.15,1.6,207.45,464.01,12.7,201.91,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pacto,spanish,5,242.03,582.51,479.96,687.7,9.96,-2.83,227.61,414.21,12.9,228.33,NA,1,p,voiceless,stressed
bi_aldrich,P09,taza,spanish,5,412.53,787.95,544.38,726.88,10.67,4.63,773.99,1386.53,3.69,15.77,NA,1,t,voiceless,stressed
bi_aldrich,P09,cancha,spanish,5,267.28,717.13,477.63,785.36,36.32,16.81,1822.92,1601.79,3.15,11.88,NA,1,k,voiceless,stressed
bi_aldrich,P09,casa,spanish,5,280.2,732.24,502.32,744.38,41.37,7.87,1809.06,1703.71,3.2,12.06,NA,1,k,voiceless,stressed
bi_aldrich,P09,tanque,spanish,5,395.22,776.62,533.48,763.55,9.32,4.03,458.83,883.94,6.3,50.69,NA,1,t,voiceless,stressed
bi_aldrich,P09,pagado,spanish,5,490.79,741.17,517.04,724.84,11.73,-7.17,105.36,118.77,14.61,845.47,NA,1,p,voiceless,unstressed
bi_aldrich,P09,tampoco,spanish,5,375.93,770.43,493.08,728.4,12.49,6.76,1169.79,1555.36,2.59,8.18,NA,1,t,voiceless,unstressed
bi_aldrich,P09,paso,spanish,5,561.85,813.92,481.73,673.79,9.4,1.49,322.25,428.25,9.57,155.56,NA,1,p,voiceless,stressed
bi_aldrich,P09,casete,spanish,5,295.86,751.28,478.14,756.24,27.22,14.61,1423.38,1239.77,3.5,16.94,NA,1,k,voiceless,unstressed
bi_aldrich,P09,cascada,spanish,5,289.29,741.67,456.82,755.36,26.71,13.3,856.42,1096.8,3.46,18.43,NA,1,k,voiceless,unstressed
bi_aldrich,P09,camisa,spanish,5,188.66,744.24,263.63,686.4,28.95,15.12,1566.81,965.24,5.5,33.01,NA,1,k,voiceless,unstressed
bi_aldrich,P09,campo,spanish,5,294.36,703.72,441.63,688.56,21.7,11.85,1235.5,1166.09,4.59,27.47,NA,1,k,voiceless,stressed
bi_aldrich,P09,tacada,spanish,5,311.55,738.65,332.85,742.03,15.65,1.97,452.98,1079.56,5.66,37.12,NA,1,t,voiceless,unstressed
bi_aldrich,P09,pata,spanish,5,391.71,569.76,492.42,688.33,10.03,-3.82,127.32,127.63,13.72,746.19,NA,1,p,voiceless,stressed
